Sr_No,Hospital_Name,Address_Original_First_Line,Location,District,State,Pincode,State_ID,District_ID,Latitude,Longitude,coords_valid
1,Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,Near Dollygunj Junction,South Andaman,Andaman and Nicobar Islands,744101,35,640,11.6357989,92.7120575,True
2,Inhs Dhanvantri,Medical Board Office,Medical Board Office,South Andaman,Andaman and Nicobar Islands,744101,35,640,11.8311681,92.6586401,True
3,Maricar Hospital,Near Masjid,Near Masjid,South Andaman,Andaman and Nicobar Islands,744103,35,640,11.8311681,92.6586401,True
4,Pillar Health Centre,"Lamba Line, P.B. No. 526","Lamba Line, P.B. No. 526",South Andaman,Andaman and Nicobar Islands,744103,35,640,11.6498468,92.7294624,True
5,"G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair","GB Pant Road, City Centre, Port Blair",South Andaman,Andaman and Nicobar Islands,744103,35,640,11.6233774,92.7264828,True
6,"Care Hospital, Banjara","Road No.1, Banjara Hills","Road No.1, Banjara Hills",Hyderabad,Andhra Pradesh,500034,28,,17.4274003,78.4311174,True
7,Aasha Hospitals,"7/201, Court Road","7/201, Court Road Anantapur 515001  Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6795736,77.592469,True
9,Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex","Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
10,Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar","12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
12,Hrudaya Children Hospital,Sai Nagar Iind Cross,"Sai Nagar Iind Cross,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6749908,77.6032432,True
13,"Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar","15-381, Kamala Nagar,.",Anantapur,Andhra Pradesh,515001,28,553,17.4738037,78.5641765,True
15,Meda Nursing Home,Railway Station Road,Railway Station Road,Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
16,Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross","12/3-269, Sai Nagar, 6Th Cross, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
17,Mythri Hospitals,D No: 15/721 Kamala Nagar,D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Anantapur,Andhra Pradesh,515001,28,553,14.6867872,77.5832307,True
18,Padmavathi Hospital,"Aravinda Nagar, 2 Nd Cross","Aravinda Nagar, 2 Nd Cross",Anantapur,Andhra Pradesh,515001,28,553,15.3474564,75.1253824,True
19,Pavani Multi Speciality Hospital,"12-2-979,3Rd Cross, Sai Nagar","12-2-979,3Rd Cross, Sai Nagar, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6742267,77.6025251,True
20,Prasanthi Nursing Home,"#346, Court Road","346, Court Road,.",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
21,Priya Multispeciality Hospital,"#12/2/991, Sai Nagar,Main Road","12/2/991, Sai Nagar,Main Road, Anantpur",Anantapur,Andhra Pradesh,515001,28,553,14.6723351,77.6018211,True
22,Ravitej Nursing Home,"15-16, Kamala Nagar","15-16, Kamala Nagar, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6805847,77.6000775,True
23,Santhi Nursing Home,"Near R.T.C, Bus Stand","Near R.T.C, Bus Stand, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,13.9860276,77.7658783,True
25,Sri Sai Balaji Hospital,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross","Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
26,Sri Sai Kurpa Nursing Home,"10/368, Sarojini Road","10/368, Sarojini Road, Anantapur",Anantapur,Andhra Pradesh,515001,28,553,13.6340453,79.4157431,True
27,Sri Sai Venkateshwara Surgical Clinic,Anantapur,Anantapur,Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
28,Sudhir Surgical Clinic,Hospital Road,"Hospital Road,Anantapur-515001",Anantapur,Andhra Pradesh,515001,28,553,14.9093514,78.0060388,True
29,Suma Eye Clinic,"12-2-870,1St Cross,Sai Nagar","12-2-870,1St Cross,Sai Nagar,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6755437,77.6036802,True
30,Swetha Ent Hospital,"#12/350-A,1St Cross ,Sai Nagar","12/350-A,1St Cross,Sai Nagar,Anantapur",Anantapur,Andhra Pradesh,515001,28,553,14.6755437,77.6036802,True
32,Varun Children's Hospital,"D. No.14/224, Kamala Nagar","D. No.14/224, Kamala Nagar",Anantapur,Andhra Pradesh,515001,28,553,19.0627033,72.9297396,True
33,Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),"7/201, Court Road","7/201, Court Road",Anantapur,Andhra Pradesh,515001,28,553,14.6818877,77.6005911,True
34,Vijaya Nursing Home,Navodaya Colony,"Navodaya Colony, Anantpur",Anantapur,Andhra Pradesh,515001,28,553,14.6607456,77.6085681,True
36,Mamatha Nursing Home,"12-2-865, 1St Cross, Sai Nagar","12-2-865, 1St Cross, Sai Nagar",Anantapur,Andhra Pradesh,515004,28,553,13.0433764,80.1622367,True
37,Anantapuram Praja Vaidyasala,"28-639-1, Behind Sangamesh Funtion Hall","28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapur,Andhra Pradesh,515005,28,553,14.6735546,77.6081894,True
38,Balaji Nursing Home,M.F. Road,"M.F. Road,.",Anantapur,Andhra Pradesh,515201,28,553,14.6818877,77.6005911,True
39,Dr B V Syamala Ratnam Hospiatal,"Opposite R.T.C Bus Stand, Hindupur (Po)","Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Anantapur,Andhra Pradesh,515201,28,553,14.6818877,77.6005911,True
40,Girish Multispeciality Hospital,"#18-1-167, M F Road, Hindupur","18-1-167, M F Road, Hindupur",Anantapur,Andhra Pradesh,515201,28,553,14.178135,77.2728241,True
41,Shilpa Hospital,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur","R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Anantapur,Andhra Pradesh,515201,28,553,13.8358978,77.5046101,True
42,Sreenivasa Nursing Home,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Anantapur,Andhra Pradesh,515201,28,553,13.8185378,77.4988753,True
43,Teja Nursing Home,R.P and G.T Road Hindupur,R.P and G.T Road Hindupur--515201,Anantapur,Andhra Pradesh,515201,28,553,13.8371751,77.4878898,True
44,Sharada Nursing Home and Falvia P Reddy Diagnostic,"1/531A-3, East Palem, C B Road, Tadaptri","1/531A-3, East Palem, C B Road, Tadaptri",Anantapur,Andhra Pradesh,515411,28,553,14.910003,78.0005407,True
45,Sri Kanchani Hospital,"C.B Road, Tadpatri","C.B Road, Tadpatri",Anantapur,Andhra Pradesh,515411,28,553,14.9070274,78.0092703,True
48,Devi Nursing Home,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram","Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Anantapur,Andhra Pradesh,515671,28,553,14.4137447,77.7126189,True
49,Spandana Hospital,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram","Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Anantapur,Andhra Pradesh,515671,28,553,14.4068919,77.7125679,True
50,Preethi Nursing Home,"Thilak Nagar, Guntakal","Thilak Nagar, Guntakal",Anantapur,Andhra Pradesh,515801,28,553,15.1622611,77.3826845,True
53,Dr. Ramalakshmi Nursing Home,"No.17-433, Lakshmi Complex, Sundarayyar Street","No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Chittoor,Andhra Pradesh,517001,28,554,13.217176,79.1003289,True
54,Dr. V. K. R. Nursing Home and Scan Centre,"No. 20-142/1, Near Raghava Theatre, Naidu Building","No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Chittoor,Andhra Pradesh,517001,28,554,13.217176,79.1003289,True
55,Lakshmi Hospital,"D.No:17-284,,T.V.Naidu St","D.No:17-284,T.V.Naidu St,.",Chittoor,Andhra Pradesh,517001,28,554,28.6481837,77.3709431,True
58,Sreelatha Modern Eye Hospital And Research Centre,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office","2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Chittoor,Andhra Pradesh,517001,28,554,13.217176,79.1003289,True
59,Sujatha Nursing Home,"#2-1090, Padmavathi Nagar, Piler","2-1090, Padmavathi Nagar, Piler, Chittoor",Chittoor,Andhra Pradesh,517001,28,554,13.65,78.933333,True
61,Balaji Hospital,Opp:Tn Petrol Bunk Punganur Punganur,Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Chittoor,Andhra Pradesh,517247,28,554,13.36592,78.5750141,True
62,Vijaya Nursing Home,Gokul Theater Road Punganur Punganur,Gokul Theater Road Punganur Punganur 517247  Chittoor,Chittoor,Andhra Pradesh,517247,28,554,13.36592,78.5750141,True
63,Balaji Multi Speciality Hospital,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle","Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Chittoor,Andhra Pradesh,517325,28,554,13.5508703,78.50597,True
64,Bhavya Child Care Center,Near Rtc Bus Stand Chittoor Madanapalli,Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
65,Bhavyas Children Hospital,R T C Bus Stand Madanpalle,R T C Bus Stand Madanpalle -,Chittoor,Andhra Pradesh,517325,28,554,13.5508703,78.50597,True
66,Chandra Mohan's Nursing Home,14/2A Ctm Road Beside Icici Bank Madanapalli,14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
67,Desai Hospital,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle","Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
68,Desai Hospital-Madanapalli,"No. 3-153-4-3-1, Near Rtc Bus Stand","No. 3-153-4-3-1, Near Rtc Bus Stand,",Chittoor,Andhra Pradesh,517325,28,554,14.4656511,78.8330438,True
69,Emergency Hospital,"Near R.T.C.Busstand,C.T.M.Road","Near R.T.C.Busstand,C.T.M.Road.",Chittoor,Andhra Pradesh,517325,28,554,18.4328566,79.1303578,True
70,Gupta Nursing Home,C.T.M.Road,",C.T.M.Road.",Chittoor,Andhra Pradesh,517325,28,554,13.217176,79.1003289,True
71,Kathasagaram Hospitals,"# 15-37, Burma St, C.T.M. Road","15-37, Burma St,,C.T.M. Road .",Chittoor,Andhra Pradesh,517325,28,554,13.5529488,78.5086376,True
72,Leo Hospital,",,C.T.M.Road",",C.T.M.Road.",Chittoor,Andhra Pradesh,517325,28,554,13.217176,79.1003289,True
73,M.V.L Hospital,C.T.M Road(Opp State Bank Of India) Madanapalle,"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",Chittoor,Andhra Pradesh,517325,28,554,13.5657237,78.5066868,True
74,Madanapalle Hospital Pvt Ltd,"C.T.M Road, Madanapalle","C.T.M Road, Madanapalle",Chittoor,Andhra Pradesh,517325,28,554,13.553374,78.5065719,True
75,Popular Nursing Home,"Gandhi Road,,Gandhi Road","Gandhi Road,Gandhi Road.",Chittoor,Andhra Pradesh,517325,28,554,30.3145962,78.0357476,True
76,Rama Orthopaedic Nursing Home,"Iv-5-3, Marpoori Colony, Madanapalle","Iv-5-3, Marpoori Colony, Madanapalle",Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
77,Shantharam Hospital,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle","Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Chittoor,Andhra Pradesh,517325,28,554,13.553374,78.5065719,True
80,Sri Kaveri Speciality Hospital,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle","Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Chittoor,Andhra Pradesh,517325,28,554,14.6818877,77.6005911,True
81,Usha Speciality Hospital,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle","Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
82,Viswa Orthopaedic Hospital,"D No 11-70, Patel Road Madanapalli","D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Chittoor,Andhra Pradesh,517325,28,554,13.5603491,78.5036065,True
84,P E S Institute Of Medical Sciences and Research,Kuppam Palmaner Road,"Kuppam Palmaner Road,  - Chittoor",Chittoor,Andhra Pradesh,517425,28,554,12.7279579,78.3512397,True
85,Rathna Childrens and General Hospital,"Palace Road, Kuppam","Palace Road, Kuppam",Chittoor,Andhra Pradesh,517425,28,554,12.7510218,78.340196,True
86,Sri Priya Nursing Home,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam","A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Chittoor,Andhra Pradesh,517425,28,554,12.7470314,78.3330157,True
87,Apollo Multispeciality Hospital,"D.No :10-15-189/I2, K.K. Layout, Tirupati","D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6403071,79.4176391,True
89,Asalatha Medicare Pvt Lt,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati","10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Chittoor,Andhra Pradesh,517501,28,554,13.6320156,79.4260025,True
90,Balaji Institute Of Surgery Research And Rehabilit,Tirupti (B.I.R.R.D),Tirupti (B.I.R.R.D),Chittoor,Andhra Pradesh,517501,28,554,13.217176,79.1003289,True
91,Balaji Orthopaedic And Trauma Hospital,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati","413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6344095,79.425573,True
92,Bhaskar Allergy and Chest Hospital,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati","No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Chittoor,Andhra Pradesh,517501,28,554,13.6338436,79.4210045,True
93,Clinic Nisha,"398A, Doddapuram Street, Tirupati","398A, Doddapuram Street, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6338782,79.4195997,True
94,Dbr And Sk Super Speciality Hospital,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road","18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6244611,79.4310052,True
95,Eye Care Centre and Contact Lens Clinic,Nehru Nagar Behind Jyothi Talkies Tirupati,Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
97,Harshitha Hospital,"10-13-568,,Reddy and Reddy Colony","10-13-568,Reddy and Reddy Colony,Chittoor.",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
99,M S Hospital,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road","D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Chittoor,Andhra Pradesh,517501,28,554,13.6781837,79.352188,True
100,M.M Hospital,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati","138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
102,Manohari Nursing Home,"548, R.R. Colony,Tirupati","548, R.R. Colony,Tirupati-",Chittoor,Andhra Pradesh,517501,28,554,13.6302513,79.4118237,True
103,Meghana Hospital,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati","538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
105,Navya Netralaya Eye Hospital,2-2-349 K.V. Layout,2-2-349 K.V. Layout,Chittoor,Andhra Pradesh,517501,28,554,13.217176,79.1003289,True
106,Neelima Maternity Nursing Home,"18-2-246 , Road No-1 Abbanna Colony Tirupati","18-2-246, Road No-1 Abbanna Colony Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6390013,79.4272041,True
107,Nirmala Hospitals,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati","18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
108,Om Children Surgical Superspeciality Centre,"10-13-486, Reddy and Reddy Colony, Tirupati","10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
109,Prameela Hospital,10 - 3 - 206 Kotakommala Street Tirupati,10 - 3 - 206 Kotakommala Street Tirupati,Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
110,Prashanth Hospital,"#: 410, Tilak Road Tilak Road Tirupati",": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6338436,79.4210045,True
112,Raghavendra Urological Super Speciality Hospital (Russh Hospital),"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati","10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6244611,79.4310052,True
113,Rama Nursing Home,"535, Reddy and Reddy Colony , Tirupati","535, Reddy and Reddy Colony, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
115,Ramya Hospital,"-4-566, Nehru Nagar, Tirupathi, Chittoor","-4-566, Nehru Nagar, Tirupathi, Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6365271,79.4127143,True
116,Ravi Neuro and Emergency Hospital - Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati","576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
117,Sakthi Medicals,"548, Reddy and Reddy Colony,Tirupati","548, Reddy and Reddy Colony,Tirupati-517501",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
118,Shyamala Nursing Home,"101, Sarojinideavi Road, Tirupati","101, Sarojinideavi Road, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6368739,79.4144319,True
119,Sree Emergency and Crticial Care Hospital,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati","D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6157076,79.4125828,True
120,Sri Chakra Hospitals,"10-13-496, , Reddy and Reddy Colony, Tirupati","10-13-496, Reddy and Reddy Colony, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
121,Sri Padmavathi Multi Speciality Hospital,"6-1-46, R.S.Gardens Tirupati","6-1-46, R.S.Gardens Tirupathi",Chittoor,Andhra Pradesh,517501,28,554,23.0866456,72.5630236,True
122,Sri Ramadevi Multi Super Speciality Hospital,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Chittoor,Andhra Pradesh,517501,28,554,13.6388217,79.4204627,True
124,Sri Sai Sudha Hospitals,"521, Reddy and Reddy Colony, Chittor, Tirupati","521, Reddy and Reddy Colony, Chittor, Tirupati,",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
125,Sri Suraksha Hospital,Tirupati,Tirupathi,Chittoor,Andhra Pradesh,517501,28,554,13.217176,79.1003289,True
126,Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.217176,79.1003289,True
127,Sri Venkateshwara Institute Of Medical Sciences,Tirupati,Tirupati,Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
128,Sri Venkateswara Hospitals,"No. 20-03-88G, Siva Jyothi Nagar","No. 20-03-88G, Siva Jyothi Nagar,",Chittoor,Andhra Pradesh,517501,28,554,26.896961,75.792554,True
130,Srinivasa Super Speciality Hospital,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati","216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
131,Suguna Nursing Home,"515,Reddy Reddy Colony, Tirupati","515,Reddy Reddy Colony, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
132,Sviss Hospital,"326,Nethaji Road,Tirupati","326,Nethaji Road,Tirupathi",Chittoor,Andhra Pradesh,517501,28,554,13.6095995,79.4489169,True
133,Swaranamrutha Hospital,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati","6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.6287557,79.4191795,True
136,Triveni Child Care Hospital,"525,Reddy  and Reddy Colony,Tirupathi","525,Reddy  and Reddy Colony,Tirupathi-",Chittoor,Andhra Pradesh,517501,28,554,13.6361446,79.4204532,True
139,Venkataramana Heart And Maternity Hospital,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati","10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Chittoor,Andhra Pradesh,517501,28,554,13.6358027,79.420805,True
140,Vision Care Clinic,"6-2-88, Old Maternity Hospital Road, Tirupati","6-2-88, Old Maternity Hospital Road, Tirupati",Chittoor,Andhra Pradesh,517501,28,554,13.639101,79.4177213,True
141,Elite Hospital,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony","D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Chittoor,Andhra Pradesh,517502,28,554,13.6335087,79.4170539,True
142,Maha Hospitals,13-7-936/6 Tuda Road,13-7-936/6 Tuda Road,Chittoor,Andhra Pradesh,517502,28,554,13.217176,79.1003289,True
143,Vennela Super Speciality Eye and Dental Hospital,"502,B, 1St Floor, Opp Sbi Kt Road","502,B, 1St Floor, Opp Sbi Kt Road",Chittoor,Andhra Pradesh,517502,28,554,28.6779455,77.3103012,True
145,Manasa Kidney Foundation,"K. T. Road, Tirupati","K. T. Road, Tirupati",Chittoor,Andhra Pradesh,517507,28,554,13.6452591,79.419089,True
146,Rushh Hospital,"V.V.Mahal Road, Tirupathi","V.V.Mahal Road, Tirupathi",Chittoor,Andhra Pradesh,517507,28,554,13.6370231,79.4206271,True
149,Swarna E.N.T Super Speciality Hosptial,"6-1-12A, Beside Old Maternity Hospital, Tirupati","6-1-12A, Beside Old Maternity Hospital, Tirupati",Chittoor,Andhra Pradesh,517507,28,554,13.6287557,79.4191795,True
150,Swarnamurtha Hospital,"91,Old M.H.Road,1/1,Tirupathi","91,Old M.H.Road,1/1,Tirupathi,Chittoor",Chittoor,Andhra Pradesh,517507,28,554,13.633255,79.4552064,True
151,Sri Sai Nursing Home,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur","3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Chittoor,Andhra Pradesh,517583,28,554,12.7686756,75.2070644,True
152,C.S.I. Hospital,Nagari-517590,"Nagari-517590, Chittoor",Chittoor,Andhra Pradesh,517590,28,554,13.3200519,79.585628,True
154,Chaitanya Childrens Hospital,"Door No-7/370, Nagarchipalem, Srikalahasti","Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chittoor,Andhra Pradesh,517644,28,554,13.7392101,79.7119419,True
155,Eswari Nursing Home,"# 7-723,Kothapet","7-723,,Kothapet.",Chittoor,Andhra Pradesh,517644,28,554,13.217176,79.1003289,True
156,Sai Kanthi Eye Hospital,Kothapet,",Kothapet.",Chittoor,Andhra Pradesh,517644,28,554,13.217176,79.1003289,True
157,Vani Priya Hospital,"V R Temple Street, Nehru Road","V R Temple Street, Nehru Road,",Chittoor,Andhra Pradesh,517644,28,554,22.5657131,88.3557301,True
160,Balaji Nursing Home,"6/1565, Sankara Puram","6/1565, Sankara Puram Kadapa",Y.S.R.,Andhra Pradesh,516001,28,644,14.480391,78.8340173,True
163,Jyothi Nursing Home,3/374 Railway Station Road Railway Station Road,3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Y.S.R.,Andhra Pradesh,516001,28,644,17.6651796,75.8970483,True
164,K.C.M. Hospital,"#3/224, Upendra Complex","3/224, Upendra Complex,",Y.S.R.,Andhra Pradesh,516001,28,644,19.0266349,72.8594614,True
166,Palla Krishnaiah Memorial And Nursing Home,21/188 and 21/187 Christian Lane,21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Y.S.R.,Andhra Pradesh,516001,28,644,14.4701485,78.8297701,True
171,Sri Krishna Sahithi Eye Hospital,3/137 Christian Lane Christian Lane,3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Y.S.R.,Andhra Pradesh,516001,28,644,14.4701485,78.8297701,True
172,Srija Rainbow Childrens Hospital,Madras Road,"Madras Road, Kadapa",Y.S.R.,Andhra Pradesh,516001,28,644,14.4783864,78.8252721,True
174,Tata Reddy Ramalinga Reddy Nursing Home,"17/48, Kapu Street, Jammalamadugu","17/48, Kapu Street, Jammalamadugu",Y.S.R.,Andhra Pradesh,516001,28,644,14.686981,78.3909238,True
178,Vurimi Savitramma Cardiac Centre,# 3/225 Upendra Complex Christian Lane,3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Y.S.R.,Andhra Pradesh,516001,28,644,14.4701485,78.8297701,True
180,Dr G R K R Multi Speciality Hospitals,"6/1414, Sankarapuram","6/1414, Sankarapuram",Y.S.R.,Andhra Pradesh,516002,28,644,14.480391,78.8340173,True
183,Sri Satya Sai Hospital,"6-880, Madras Road Sankarapuram","6-880, Madras Road Sankarapuram",Y.S.R.,Andhra Pradesh,516002,28,644,13.0311046,80.2720822,True
185,Usha Rani Nursing Home,"1/706 - 3, Dwarakanagar","1/706 - 3, Dwarakanagar",Y.S.R.,Andhra Pradesh,516004,28,644,17.7266953,83.3054733,True
186,Vishnu Nursing Home,10/596 M. G. Road Rly. Kodur,"10/596 M. G. Road Rly. Kodur, Kadapa",Y.S.R.,Andhra Pradesh,516101,28,644,13.9518505,79.3492863,True
187,Sree Durgaa Nursing Home,Nagulamanu Street Rajampet Rajampet,Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Y.S.R.,Andhra Pradesh,516115,28,644,14.1965314,79.1563718,True
